Country Name,Country Code,Series Name,Series Code,2016 [YR2016]
Algeria,DZA,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,..
Algeria,DZA,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,..
Algeria,DZA,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,2
Algeria,DZA,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..
Algeria,DZA,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,..
Algeria,DZA,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,..
Algeria,DZA,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Algeria,DZA,Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,..
Algeria,DZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Algeria,DZA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,4827.72425138732
Angola,AGO,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,..
Angola,AGO,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,..
Angola,AGO,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,1
Angola,AGO,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..
Angola,AGO,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,..
Angola,AGO,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,..
Angola,AGO,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Angola,AGO,Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,..
Angola,AGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Angola,AGO,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,3582.64756234992
Bahrain,BHR,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,..
Bahrain,BHR,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,..
Bahrain,BHR,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,1
Bahrain,BHR,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..
Bahrain,BHR,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,..
