"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54"
0,0.000145488506275169,0,0.000240445755999711,0.000117787588841518,0.000198955747731676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000145488506275169,0,0.000113618096296239,0,0.00017834288665627,0.000166031901584404,0.000267475020580947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.000113618096296239,0,0,0,0.000163536137690207,0.000149799484782685,0.000157870590801083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000240445755999711,0,0,0,0.000170095015406857,0,0,0,0.000244061515665537,0.000156274816473035,0.000200424786893031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000117787588841518,0.00017834288665627,0,0.000170095015406857,0,0.000174537936476579,0,0,0,0.00027698110832227,0.00017493345706013,0.000272180024640087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000198955747731676,0.000166031901584404,0.000163536137690207,0,0.000174537936476579,0,0.000154880439013271,0,0,0,0.000193250284201261,0.000187954238385234,0.000249943656814723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.000267475020580947,0.000149799484782685,0,0,0.000154880439013271,0,0.000219690047228174,0,0,0,0.000265957652762483,0.000131832447164608,0.00018860732374079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.000157870590801083,0,0,0,0.000219690047228174,0,0,0,0,0,0.000221282610506129,0.000170801114669224,0.000176899956681492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.000244061515665537,0,0,0,0,0,0.000276406971286364,0,0,0,0,0,0.000215232679034817,0.000264530919341269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.000156274816473035,0.00027698110832227,0,0,0,0.000276406971286364,0,0.000248854976452171,0,0,0,0,0.000327751755204613,0.000283977261217078,0.000310709042747322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
